path	reviewed	pred	partition
/truenas-big/images/66/3d/663d48834717f844b0dd4a641aebe440a6a6e82e3c67c49341601f04bb2a9bcf.JPEG	clean	minimax_hailuo	nano_150k
/truenas-big/images/0f/c0/0fc0d99a94eec9ce44e4c4634c0625402f446d8000b97f92f2ef6454be6f293e.PNG	watermarked_other	grok	pico_banana
/truenas-big/images/e3/0a/e30a5f47edce6b78a4f78bbe0bf9bdbb762bf9ebeb8aa53642553a796c70c63f.JPEG	clean	grok	dalle3
/truenas-big/images/c3/91/c39196e99560dcbc02788b2ae1a66553fbfa8c377c8e774b6b068eba96852554.WEBP	watermarked_other	sora	gpt_4o
/truenas-big/images/88/19/88193d3323e11faa74eaf8f32c01a46ec1489cd5126d1324f0e522aa33245c28.WEBP	watermarked_other	minimax_hailuo	gpt_4o
/truenas-big/images/26/34/263401d02d43d557dd778a48e31a397ca04a331d9f7204060c6db94b9991f307.WEBP	watermarked_other	minimax_hailuo	gpt_4o
/truenas-big/images/ea/95/ea95c889c552c601349fc185c8d15fd3ae78ffd44567de61ebe0da966a88976e.WEBP	watermarked_other	minimax_hailuo	gpt_4o
/truenas-big/images/83/2a/832a26d6b103385c8316c80fc0dbaaf2cace98a4413a34f8feddceb4b27c7b4c.WEBP	clean	gemini	gpt_4o
/truenas-big/images/af/37/af37ff56304f67a762aec092acae864158b54d6e5a5b8851dabe84cc77708037.WEBP	watermarked_other	minimax_hailuo	gpt_4o
/truenas-big/images/f2/1e/f21e44786801467724b9f89e8d2f2209ae8bdbc2809e6e08f4836676ebc1a248.JPEG	clean	gemini	coco_2017
/truenas-big/images/58/20/5820f03aab0740455459977b8221f6b04a3e98870bb4023ef3c0a9aafc91a305.JPEG	watermarked_other	grok	openimages
/truenas-big/images/50/3c/503c2daed6b3519feac0878a8c5806541baa7cf24514501fd35e608f30939a83.JPEG	clean	grok	openimages
/truenas-big/images/43/63/43631ad55f67631cdd69a9c7593ca6d52cd9a1da76213286ba4d455cd5a3f181.JPEG	clean	grok	openimages
/truenas-big/images/f4/01/f401290a5138682befbd0b5e9fa956071a740ac54837cc1952e82fd71669ceae.JPEG	watermarked_other	grok	openimages
/truenas-big/images/5d/79/5d79bfd3d215e85ccace3b99e4cd28f6f37c68eccc67c3c9fa42a23f86bd587e.JPEG	clean	grok	laion400m
/truenas-big/images/1d/df/1ddf8bb3ce334034c8a745cdfd8f8f86b07907eda13648ac93690edadca46aa0.JPEG	watermarked_other	minimax_hailuo	civitai
/truenas-big/images/7e/e9/7ee9467af74ca8ac66795d70d91e1347a897bd5e8a241007f79393a3259af32f.JPEG	clean	minimax_hailuo	civitai
/truenas-big/images/d9/4d/d94d3fd497cb79e7cc79b67d36dea911ed8d7f68e6ea65923772f82a507fe656.JPEG	watermarked_other	grok	civitai
/truenas-big/images/fa/81/fa81faf08a194f8174f68cf304df605605def3d49dc2e3b40640b7b842334146.JPEG	clean	minimax_hailuo	civitai
/truenas-big/images/bc/ca/bcca89c51cf120543899e856dc274f0d9c322100135373a5c4ee3a206e5cab4f.JPEG	clean	minimax_hailuo	civitai
/truenas-big/images/39/30/393062251ae4620961e6fb991b7ebafe34a5f7a878d76a852ef2d06c4e079e0f.JPEG	clean	text_tpdne	civitai
/truenas-big/images/42/bb/42bb5b4c3ae02716b56da16c8921dd8ddfad2bc4aade9e1b5574416cd0198070.JPEG	watermarked_other	grok	civitai
/truenas-big/images/8a/01/8a017845d333d07e6423f7192d2dfbb577c1aeb510de079e55750822fbc175f8.JPEG	clean	minimax_hailuo	civitai
/truenas-big/images/4a/b6/4ab6f96f5e1846e5ac1fd80c3aa66d7aff39b941195cc2f8d1f662dd64ccfcff.JPEG	watermarked_other	grok	civitai
